CID000003015,G03HA01
CID000004485,C08CA05
CID000060707,J01DH02
CID000003117,N07BB01,P03AA04
CID000003114,C01BA03
CID000004645,D06AA03,G01AA07,J01AA06,S01AA04
CID000038904,L01XA02
CID000060147,G04CA02
CID000004674,M05BA03
CID000002522,D05AX02
CID000002524,A11CC04,D05AX03
CID000104865,C02KX01
CID004659568,N04BX02
CID004659569,N04BX01
CID000003062,C01AA02,C01AA05,C01AA08,V03AB24
CID000003066,N02CA01
CID000154059,G04BD08
CID000004889,C10AA03
CID000004264,D06AX09,R01AX06
CID000000750,B03AA01,B05CX03
CID000002637,J01DC01
CID000002631,J01DD01
CID000160051,C10AC04
CID000001986,S01EC01
CID000003454,J05AB06,J05AB14,S01AD09
CID000003690,L01AA06
CID000151165,A04AD12
CID000003696,N06AA02,N06AA03,N06AA06
CID000003698,C01CE01
CID000003929,J01XX08
CID000004195,C01CA17
CID000002949,G03XA01
CID000004078,N05AC03
CID000004900,A07EA03,H02AB07,H02AB15
CID000005593,S01FA06
CID000005452,N05AC02
CID000004107,M03BA03
CID000071329,C01BD04
CID000005212,G04BE03
CID000005210,A08AA10
CID000005215,D06BA01,J01EC02
CID000004920,G03AC06,G03DA02,G03DA03,G03DA04,L02AB02
CID000004927,D04AA10,R06AD02,R06AD05
CID000008612,N01BA04
CID000005430,D01AC06,P02CA02
CID000003324,J05AB09,S01AD07
CID000003325,A02BA03
CID000124087,R06AX27
CID000004856,M01AC01,M02AA07,S01BC06
CID000005508,M01AB03,M02AA21
CID000005504,C04AB02,M02AX02
CID000005505,A10BB03,V04CA01
CID000054841,N06BA09
CID000005726,J05AF01
CID000005721,J05AH01
CID000002182,L01XX35
CID000002187,L02BG03
CID000004993,P01BD01
CID000003100,D04AA32,D04AA33,R06AA02
CID000000861,H03AA02
CID000003105,S01EA02
CID000003108,B01AC07,C01DX20
CID000004675,M03AC01
CID003468412,A07AA02,D01AA01,G01AA01
CID000003075,C08DB01
CID000068844,S01EC04
CID000060714,V08CA04
CID009571074,J01DD16
CID000002583,C07AA15,S01ED05
CID000004451,J05AE04
CID000002512,G02CB03,N04BC06
CID000002629,J01DD12
CID000000137,L01XD04
CID000041317,D05BB02
CID000002622,J01DE01
CID000062959,J01MA13
CID000002995,N06AA01
CID000002487,N02AF01
CID000003467,D06AX07,J01GB03,S01AA11,S02AA14,S03AA06
CID000003463,C10AB04
CID000003461,L01BC05
CID000003915,R01AC02,S01GX02
CID000003914,S01ED03
CID000003661,A03BA01,A03BB02,N04AC01,N04AC30,S01FA01,S01FA05,A03BA03
CID000039042,C10AB02
CID000004062,N01BB03
CID000004060,N03AB04
CID000004064,N05BC01
CID000002249,C07AB03,C07AB11
CID000152945,G04CB02
CID000004112,L01BA01,L04AX03
CID011947681,C02DD01
CID000002658,J01DC02
CID005329102,L01XE04
CID000004934,A03AB05
CID000004935,S01HA04
CID000004932,C01BC03
CID000002655,J01DD07
CID000039860,A04AD11
CID000005538,D10AD01,D10AD51,L01XX14,D10BA01,D10AD04,L01XX22
CID000004845,R03AC08,R03CC07
CID000005533,N06AX05
CID000005717,R03DC01
CID000005719,N05CF03
CID000005718,J05AF03
CID000004201,C02DC01,D11AX01
CID000005155,J05AF04
CID000005404,G01AG02
CID000005403,R03AC03,R03CC03
CID000005402,D01AE15,D01BA02
CID000005401,G04CA03
CID000005152,R03AC12
CID000004666,L01CD01
CID000002160,N06AA09
CID000048041,C01BC08
CID000000815,A07AA08,J01GB04,S01AA24
CID000002441,N05BA08
CID000060169,M03AC07
CID000004595,A04AA01
CID000060164,D10AD03
CID000004599,A08AB01
CID000002431,C01BD02
CID000003000,D07AC03,D07XC02
CID000003003,A01AC02,C05AA09,D07AB19,D07XB05,D10AA03,H02AB02,R01AD03,S01BA01,S01CB01,S02BA06,S03BA01
CID000003007,N06BA01,N06BA02
CID000438204,D06BA01
CID000007029,A08AA03
CID000123620,D07AC13,D07XC03,R01AD09,R03BA07
CID003002190,J01FA15
CID000004449,N06AX06
CID000002617,J01DB04
CID000104758,L01BA03
CID000003478,A10BB07
CID000023897,N05AE02
CID000163742,B01AX05
CID000003475,A10BB09
CID000003476,A10BB12
CID000002891,B03BB01,B03BA01
CID000003676,C01BB01,C05AD01,D04AB01,N01BB02,R02AD02,S01HA07,S02DA01,A01AD11
CID000003902,L02BG04
CID000003675,N06AF03
CID000003672,C01EB16,G02CC01,M01AE01,M01AE14,M02AA13
CID000004058,N02AB02
CID000004057,A03AB12
CID000004054,N06DX01
CID000004053,L01AA03
CID000004052,M01AC06
CID000003877,J05AF05
CID000091270,C09AA13
CID000003878,N03AX09
CID000004121,C03AA08
CID000065027,J05AE09
CID000003494,A03AB02
CID005311048,L01XA01
CID000004409,M01AX01
CID000016362,N05AG02
CID000003869,C07AG01
CID000004943,N01AX10
CID000004946,C07AA05
CID000005090,M01AH02
CID000005525,C09AA10
CID000005526,B02AA02
CID000130881,C09CA08
CID000009433,R03DA05
CID000093860,L01XX32
CID000003278,C03CC01
CID000003279,J04AK02
CID000072057,V08CA09
CID000072054,G04BD10
CID000005412,A01AB13,D06AA04,J01AA07,S01AA09,S02AA08,S03AA02,A01AB21,S01AA02,J01AA06,J01AA09,S01AA04,G01AA07,D06AA02,D06AA03,J01AA03
CID000004614,M01AE12
CID000004616,N05BA04
CID000002477,N05BE01
CID000002476,N02AE01,N07BC01
CID000002471,C03CA02
CID000002274,J01DF01
CID000001065,C01BA01
CID000002519,N06BC01,N02BE01
CID000003928,J01FF02
CID000004724,C07AA23
CID000004723,N06BA05
CID000003019,C02DA01,V03AH01
CID000000937,C04AC01,C10AD02
CID000003016,N05BA01,N05BA17
CID000122316,N04BD02
CID000002609,J01DC04
CID000005071,J05AC02
CID000003702,C03BA11
CID000150310,C03DA04
CID000150311,C10AX09
CID000004436,R01AA08,S01GA01,R01AB02
CID000004100,S01EC05
CID000004547,A10BX02
CID000003648,N02AA03
CID000004543,N06AA10
CID000004542,G03AC03,G03AD01
CID000003647,C03AA02
CID000060198,L02BG06
CID000004043,S01BA08
CID000004044,M01AG01
CID000004046,P01BC02
CID000003488,A10BB01
CID000002720,C03AA03,C03AA04
CID000002726,N05AA01
CID000004138,C02AB01,C02AB02
CID000002283,D06AX05,R02AB04,J01XX10
CID000002284,M03BX01
CID000005556,N05CD05
CID000005396,L01CB02
CID000005394,L01AX03
CID000005391,N05CD07
CID005311297,R03DC03
CID000034633,C01BG01
CID000005775,C04AB01,V03AB36
CID000003241,R06AX24,S01GX10
CID000667490,L01BB02
CID000060835,N06AX21
CID000060831,R03BB04
CID000004603,J05AH02
CID000004601,M03BC01,N04AB02
CID000004607,J01CF01,J01CF02,J01CF04,J01CF05
CID000004609,L01XA03
CID000002462,A07EA06,D07AC09,R01AD05,R03BA02
CID001349907,H03BB02
CID000000838,A01AD01,B02BC09,C01CA03,C01CA24,R01AA14,R03AA01,S01EA01
CID000030623,V03AF02
CID000002266,D10AX03
CID000002267,R01AC03,R06AX19,S01GX07
CID000002265,L04AX01
CID000003393,N05CD01
CID000003392,D07AC07
CID000003394,M01AE09,M02AA19,S01BC04
CID000003397,L02BB01
CID000002269,J01FA10,S01AA26
CID000041781,C03CA01,C03CA04
CID000004739,A03AB03
CID000004736,N02AD01
CID000004737,N05CA01
CID000060696,M03AC09
CID000004730,J01CE02,J01CE10
CID000096312,L01BB07
CID003085017,V03AE02
CID000002673,J01DB09
CID000002675,J01DD08
CID000002676,C10AA06
CID000002678,R06AE07,R06AE09
CID000003730,V08AB02
CID000000232,B05XB01
CID000003657,L01XX05
CID000003652,P01BA02
CID000003658,N05BB01
CID000002708,L01AA02
CID000000581,R05CB01,S01XA08,V03AB23
CID000028112,N05AN01,D11AX04
CID000002818,N05AH02
CID000068740,M05BA08
CID000004091,A10BA02,A10BD11
CID000004095,N02AC52,N07BC02,R05DA06
CID000005546,C03DB02
CID000005544,A01AC01,D07AB09,D07XB02,H02AB08,R01AD11,R03BA06,S01BA05,C05AA12
CID000040976,G03AC08
CID000004197,C01CE02
CID000004893,C02CA01
CID000004891,P02BA01
CID000031477,S01ED04
CID000016231,C03DB01
CID000004894,A07EA01,C05AA04,D07AA01,D07AA03,D07AC14,D07XA02,D10AA02,H02AB04,H02AB06,R01AD02,S01BA04,S01CB02,S02BA03,S03BA02,H02AB07
CID000002381,N04AA02
CID000003261,N05CD04
CID000003251,N02CA01,N02CA02
CID000003255,D10AF02,J01FA01,S01AA17
CID000050614,J01DC05
CID000004635,N02AA05
CID000004634,G04BD04
CID000004428,N07BB04
CID005282226,S01EE04
CID000054454,C10AA01
CID000057469,D06BB10
CID000003382,C05AA11,D07AC08
CID000003381,C05AA10,D07AC04,S01BA15,S02BA08
CID000003387,G03BA01
CID000003384,C05AA06,D07AB06,D07XB04,D10AA01,S01BA07,S01CB05
CID000001046,J04AK01
CID000003739,V08AC04
CID000056959,C01EB18
CID000000085,A16AA01
CID000003032,M01AB05,M02AA15,S01BC03,D11AX18
CID000060753,C01BD05
CID000060754,V08CA03
CID000002662,L01XX33,M01AH01
CID000002666,J01DB01
CID000004419,N02AF02
CID006323497,J04AB05
CID000003724,V08AB09
CID000054547,J01DD13
CID000002719,P01BA01,P01BA02
CID000002712,N05BA02
CID000000596,L01BC01
CID000000772,B01AB01,C05BA01,C05BA03,S01XA09,S01XA14,B01AB05
CID000003827,R06AX17,S01GX08
CID000003826,M01AB15,S01BC05
CID000003825,M01AE03,M01AE17,M02AA10
CID000003823,D01AC08,G01AF11,J02AB02
CID000003821,N01AX03,N01AX14
CID000004140,G02AB01
CID000002803,C02AC01,N02CX02,S01EA04,S01EA03
CID000002806,B01AC04
CID000062867,N05AC04
CID000004158,N06BA04
CID000004159,D07AA01,D07AC14,D10AA02,H02AB04
CID000115237,N05AX08
CID000013342,L01CA01
CID000004259,J01MA14,S01AE07
CID004479097,B03BA03,V03AB33
CID000004086,R03CB03,R03AB03
CID000005578,J01EA01
CID000005572,N04AA01
CID000005379,J01MA16,S01AE06
CID000005376,L02BA01
CID000005596,G04BD09
CID000005591,A10BG01
CID000060815,N01AH06
CID000004976,N06AA11
CID000002443,G02CB01,N04BC01
CID005353894,V03AB04
CID000005625,J05AG02
CID000004623,D01AC11,G01AF17
CID000002244,A01AD05,B01AC06,N02BA01
CID000047319,M03AC04,M03AC11
CID000170361,N07BA03
CID000003375,C05AA10,D07AC04
CID000087177,A06AD11
CID000037393,P01BX01
CID000041693,N01AH03
CID000005978,L01CA02
CID000060787,J05AE01
CID000002656,J01DD04
CID000002650,J01DD02
CID000003759,N06AF01
CID000004594,A02BC01,A02BC05
CID000003750,L01XX19
CID000065999,C09CA07
CID000005193,N05CA06
CID000157922,L01XD03
CID000002951,M03CA01
CID000003637,C02DB02,C02DB01
CID000003639,C03AA03
CID000054374,H01CB02
CID000002727,A10BB02
CID000002725,R06AB02,R06AB04
CID000003767,J04AC01
CID000004915,L01XB01
CID000005582,P01AX07
CID000004189,A01AB09,A07AC01,D01AC02,G01AF04,J02AB01,S02AA13
CID000003958,N05BA06
CID000000143,V03AF03
CID000036339,N01AX07
CID000004168,A03FA01
CID000004163,N02CA04
CID000004160,G03BA02,G03EK01
CID000002812,A01AB18,D01AC01,G01AF02
CID000002907,L01AA01,L01DB07
CID000002905,S01FA04
CID006398970,J01DD15
CID000002019,L01DA01
CID000005291,L01XE01
CID000005297,A07AA04,J01GA01,S01AA15
CID000002913,R06AX02
CID000005566,N05AB06
CID000002083,R03CC02,R03AC02
CID000158440,V08CA11
CID000005584,N06AA06
CID000016850,S01JA01
CID000002123,L01XX03
CID000034312,N03AF02
CID000002232,B01AE03
CID000005035,G03XC01
CID000039507,H02AB12,S01BA13
CID000005746,L01DC03
CID000005038,C09AA05
CID000005039,A02BA02,A02BA07
CID000004768,C04AX02
CID000002344,N04AC01
CID000002349,J01CE01,S01AA14,J01CE02,J01CE10
CID000003291,N03AD01
CID000003715,M01AB01,C01EB03
CID000072467,L01DC01
CID000050294,R01AC07,R03BC03,S01GX04
CID000002646,J01DC10
CID000003749,C09CA04
CID000003746,R01AX03,R03BB01
CID000002610,J01DB05
CID000004440,N02CC02
CID000002732,C03BA04
CID000064147,J05AB14
CID000004509,J01XE01
CID000444033,R03BA08
CID000004506,N05CD03,N05CD02
CID005311039,J02AX04
CID000003519,C02AC02
CID000003518,C02CC02,S01EX01
CID000004211,L01XX23
CID000003512,D01AA08,D01BA01
CID000003510,A04AA02
CID000000159,B01AC09
CID000000158,G02AD02
CID000004178,C01BB02
CID005481350,J05AF07
CID000001935,N06AA18,N06DA01
CID000004170,C03BA08
CID000004171,C07AB02,C07AB52
CID000004173,A01AB17,D06BX01,G01AF01,J01XD01,P01AB01
CID000027686,R01AC01,A07EB01,S01GX01,R03BC01,D11AH03
CID000003226,N01AB04
CID000150610,J01DH03
CID000071158,N07BB03
CID000657298,H03BA02
CID000006691,B01AA03
CID005311181,B01AC11
CID005381226,J04AB02
CID000036811,C01CA07
CID000004196,G03XB01
CID000005359,M01AE07
CID000004192,N05CD08
CID000005352,M01AB02
CID000060184,C09AA04
CID000002133,D07AC11
CID000002130,N04BB01
CID000002131,N07AA30
CID000060879,C09CA02
CID000060871,J05AF08
CID000004991,N07AA02
CID000005645,A05AA02
CID000005647,J05AB11
CID000002171,J01CA04
CID000003355,C01BC04
CID000003354,G04BD02
CID000051263,N01AH02
CID000003350,D11AX10,G04CB01
CID000005002,N05AH04
CID000005005,C09AA06
CID000004771,A08AA01
CID005353980,A07EC01
CID000000942,N07BA01,A11HA01,C04AC01,C10AD02
CID006447131,D11AH02
CID000003292,N03AB01
CID000003779,C01CA02,D08AX05
CID000110635,G04BE08
CID000110634,G04BE09
CID000041744,L01DB09
CID000477468,J02AX05
CID000002749,D01AE14,G01AX12
CID000002585,C07AG02
CID000145068,R07AX01
CID000004510,C01DA02
CID000048175,D07AC21
CID000004205,N06AX11
CID000004200,A01AB23,J01AA08
CID000005381,D05AX05
CID005361912,J04AB04
CID000002520,C08DA01
CID000039765,M03AC03
CID000003403,C10AA04
CID000042113,N01AB07
CID000005344,J01EB05,S01AB02
CID000005342,M04AB02
CID000004834,J01CA12
CID000123606,N02CC05
CID000060865,S01GX09,R01AC08
CID000005650,C09CA03
CID000005651,A07AA09,J01XA01
CID006435110,P02CF01
CID000002216,S01EA03
CID000002215,G04BE07,N04BC07
CID000003348,R06AX26
CID000003342,M01AE04
CID000003340,C01CA19
CID000006058,A16AA04
CID000004748,N05AB03
CID000004740,C04AD03
CID000000951,C01CA03
CID000002366,N07CA01
CID000002369,C07AB05,S01ED02
CID000025419,M05BA02
CID000006476,N03AD03
CID000003763,N01AB06
CID000059708,N03AX14
CID000003161,A01AB22,J01AA02
CID000003168,N05AD08
CID000000888,A12CC08,B05XA11,A06AD03,B05XA10,A06AD19,A02AA04,A12CC09,A02AA01,A06AD02,A12CC10,A12CC01,A12CC04,B05CB03,A12CC07,G04BX01,A12CC03,A12CC02,A02AA03,A06AD04,A02AA02,A12CC05,A02AA05,A06AD01,C10AX07,A12CC06,A12CC30,D11AX05,V04CC02,B05XA05
CID000041774,A10BF01
CID000002733,M03BB03
CID000000401,J04AB01
CID000002751,C09AA08
CID000002756,A02BA01
CID005281007,L01AX04
CID000005358,N02CC01
CID000444013,V08CA06
CID000004463,J05AG01
CID000004236,N06BA07
CID000104741,L02BA03
CID000003883,A02BC03
CID000003405,B03BB01
CID000003406,V03AB34
CID000002978,A04AD10
CID000002973,V03AC01
CID000002250,C10AA05
CID002761171,J04AD03
CID000002021,J01XX04
CID000002022,D06BB03,J05AB01,S01AD03,J05AB11
CID003000502,J04AB30
CID000003385,L01BC02
CID000002118,N05BA12
CID000004828,C07AA03,C07AA14,C07AA17
CID000004829,A10BG03
CID000001125,A16AX07
CID000123631,L01XE02
CID000004919,N04AA04
CID000060852,M05BA06
CID000005487,M03BX02
CID000005486,B01AC17
CID000047320,M03AC11
CID000005245,M05BA07
CID000005466,N03AG06
CID000003379,R01AD04,R03BA03
CID000003373,V03AB25
CID000003372,N05AB02
CID006398525,A02BX02
CID000005064,J05AB04
CID000005453,L01AC01
CID000002375,L02BB03
CID000004212,L01DB07
CID000002370,N07AB02
CID000002983,D06AA01,J01AA01
CID000003793,J02AC02
CID000003151,A03FA03
CID000004689,A07AA06
CID000003157,C02CA04
CID000003156,R07AB01
CID000003158,N06AA12
CID000082146,L01XX25
CID000002769,A03FA02
CID000004539,J01MA06,S01AE02
CID000002762,J01MB06
CID000002564,R06AA08
CID000003562,N01AB01
CID000000187,S01EB09
CID000060854,N05AE04
CID000003899,L04AA13
CID000003890,S01EE01
CID000156419,H05BX01
CID000003419,C09AA09
CID000003417,J01XX01
CID000003414,J05AD01
CID000003410,R03AC13
CID000002786,D10AF01,G01AA10,J01FF01
CID000002781,R06AA04,D04AA14
CID000004075,A07EC02
CID000003964,N05AH01
CID000003962,C10AA02
CID000003961,C09CA01
CID000027991,H01BA02
CID000001546,L01BB04
CID000004036,M01AG04,M02AA18
CID000004030,P02CA01
CID000004032,C02BB01
CID000003333,C08CA02
CID000002162,C08CA01
CID000004411,C07AA12
CID000004819,N07AX01,S01EB01
CID005311027,S01EE03
CID000060843,L01BA04
CID000005496,J01GB01,S01AA12
CID000009034,N01AF01,N05CA15
CID000005253,C07AA07,C07AA57
CID000003365,D01AC15,J02AC01
CID000003366,D01AE21,J02AX01
CID000003367,L01BB05
CID000005472,B01AC05
CID000005478,C07AA06,S01ED01
CID000005479,J01XD02,P01AB02
CID005282044,J01AA12
CID000005078,N02CC04
CID000060937,M05BA05
CID000005076,J05AE03
CID000002308,A07EA07,D07AC15,R01AD01,R03BA01
CID000005672,L01CA04
CID000047725,L02AE03
CID000010548,S01EB03
CID000003784,C08CA03
CID000003780,C01DA08,D03AX08
CID000003148,A04AA04
CID000003143,L01CD02
CID000006256,S01AD02
CID000001206,N06BA03
CID000014888,L01XX27
CID000002578,L01AD01
CID000003559,N05AD01
CID000000191,C01EB10
CID000004253,G04BE07,N02AA01,N02AA04,N02AA09,N04BC07,R05DA01,R05DA05,S01XA06,D10AX30
CID000051577,A10BF02
CID000001972,A01AB04,A07AA07,G01AA03,J02AA01
CID000001971,J05AF06
CID000001978,C07AB04
CID000054786,B01AC21
CID000032797,D07AD01
CID000047472,G01AF15
CID000002955,J04BA02,D10AX05
CID000002958,L01DB02
CID000002794,J04BA01
CID000003950,L01AD02
CID000003957,R06AX13,R06AX27,C09AA03
CID000003954,A07DA03,A07DA05
CID005362070,A07EC04
CID000125017,N06AX23
CID000002474,N01BB01,N01BB10
CID000004513,A02BA04
CID000002713,A01AB03,B05CA02,D08AC02,D09AA12,R02AA05,S01AX09,S02AA09,S03AA04,D08AE02
CID000005314,M03AB01
CID000000453,A06AD16,B05BC01,B05CX04,V08AC04
CID000077999,A10BG02
CID000002478,L01AB01
CID000002173,J01CA01,J01CA02,J01CA06,J01CA14,J01CA15,S01AA19
CID000002170,N06AA17
CID000002177,J05AE05,J05AE07
CID000002179,L01XX01
CID000003222,C09AA02
CID000001148,N06AX02
CID000005267,C03DA01
CID000031378,H02AA02
CID000003310,L01CB01
CID000005052,C02AA02
CID000005040,L04AA10
CID000074989,P01AX06
CID000005665,N03AG04
CID000002311,C09AA07
CID000002315,C03AA01
CID005473385,L01BB03
CID000104803,M03AC10
CID000002405,C07AB07
CID000000853,C10AX01,H03AA01
CID000060612,N05CM18
CID000060613,J05AB12
CID000504578,A01AB08,A07AA01,B05CA09,D06AX04,J01GB05,R02AB01,S01AA03,S02AA07,S03AA01,D09AA01,S01AA07
CID005487301,A06AX06
CID003062316,L01XE06
CID000000298,D06AX02,D10AF03,G01AA05,J01BA01,S01AA01,S02AA01,S03AA08
CID000003040,J01CF01
CID000003043,J05AF02
CID000003042,A03AA07
CID000002541,C09CA06
CID000083786,M04AA01
CID000002895,M03BX08
CID005493444,C09XA02
CID000004727,M01CC01
CID005362420,S01LA01
CID000027661,C01DA14
CID000000450,G03CA01,G03CA03,L02AA02,L02AA03
CID000000681,C01CA04
CID000002802,N03AE01
CID000002800,G03GB02
CID000003948,J01MA07,S01AE04
CID000004425,V03AB15
